Drink,fl oz,Calories,Caffeine (mg),mg/ floz,Type,Release Year,Source
Coca-Cola Cherry Vanilla,12.0,140.0,34.0,2.8,Energy Drink,2006.0,"https://the-soda.fandom.com/wiki/Coca-Cola_Cherry_Vanilla#:~:text=Not%20to%20be%20confused%20with,in%20the%20summer%20of%202007."
Coca-Cola Energy,12.0,140.0,114.0,9.5,Energy Drink,2020.0,"https://www.cspdailynews.com/beverages/coca-cola-cuts-its-energy-drink#:~:text=Coca%2DCola%20Energy%2C%20which%20was,and%20their%20zero%2Dsugar%20counterparts."
Cocaine Energy Drink,12.0,90.0,280.0,23.3,Energy Drink,2006.0,https://www.thrillist.com/drink/nation/cocaine-energy-drink-history
Cran Energy Juice,10.0,40.0,70.0,7.0,Energy Drink,2008.0,https://www.mashed.com/269821/the-untold-truth-of-ocean-spray/
Crave Energy Drink (UK),8.43,10.0,80.0,9.5,Energy Drink,2007.0,https://www.webwire.com/ViewPressRel.asp?aId=54567
Crunk Energy Drink,16.0,200.0,192.0,12.0,Energy Drink,2004.0,https://www.crunkenergy.com/about
Crystal Light Energy Mix,16.0,10.0,60.0,3.8,Energy Drink,,
Dark Dog Organic Energy,12.0,110.0,114.0,9.5,Energy Drink,2000.0,https://www.darkdogenergy.com.sg/about-us
Demon Energy Drink,16.91,253.0,160.0,9.5,Energy Drink,,
Duff Energy Drink,12.0,170.0,120.0,10.0,Energy Drink,2007.0,"https://simpsonswiki.com/wiki/Duff_Beer_(real_world)#:~:text=In%202007%20a%20Duff%20Energy,the%20beer%20on%20The%20Simpsons."
Dutch Bros Blue Rebel Energy Drink,8.4,160.0,80.0,9.5,Energy Drink,2012.0,"https://www.globenewswire.com/news-release/2012/04/02/1201191/0/en/Dutch-Bros-Announces-Dutch-Bros-Blue-Rebel-Energy-Drink-Line.html#:~:text=GRANTS%20PASS%2C%20OR%2D%2D(Marketwire,for%20the%20Grants%20Pass%2C%20Ore."
EBOOST Energy Drink Mix,8.0,5.0,110.0,13.8,Energy Drink,,
EBOOST Super Fuel,12.0,20.0,110.0,9.2,Energy Drink,2019.0,https://www.fb101.com/eboost-super-fuel-named-best-new-product-of-2019-by-bevnet/
EBOOST Workout Crusher Mix,8.0,40.0,175.0,21.9,Energy Drink,,
Electric Monkey Wild Energy Drink,16.0,220.0,160.0,10.0,Energy Drink,,
EnerBee Energy Drink,12.0,80.0,100.0,8.3,Energy Drink,2014.0,https://www.bevindustry.com/articles/88063-enerbee
Euro Shopper Energy Drink (EU),8.46,115.0,80.0,9.5,Energy Drink,,
Fakeer Energy Drink (EU),12.52,148.0,118.0,9.4,Energy Drink,2012.0,https://www.foodbev.com/news/fakeer-energy-drink/
Freeway Cola,11.16,135.0,32.0,2.9,Energy Drink,,
Full Throttle Energy Drink,16.0,220.0,160.0,10.0,Energy Drink,2004.0,"https://en.wikipedia.org/wiki/Full_Throttle_(drink)#:~:text=Full%20Throttle%20is%20an%20energy,competitions%20from%202008%20to%202012."
Gatorade Bolt 24 Energize,16.9,40.0,75.0,4.4,Energy Drink,2020.0,https://www.bevindustry.com/articles/92699-gatorade-bolt24-energize#:~:text=Gatorade%20BOLT24%20ENERGIZE%20%7C%202020%2D01%2D07%20%7C%20Beverage%20Industry
Gatorade Fast Twitch,12.0,5.0,200.0,16.7,Energy Drink,,
GFuel Cans,16.0,0.0,300.0,18.8,Energy Drink,2019.0,"https://gfuel.com/en-ca/blogs/news/g-fuel-now-available-16-ounce-cans-nationwide#:~:text=The%20G%20Fuel%20You've,to%20buy%20at%20gfuel.com."
GFuel Energy Drink Mix,16.0,15.0,140.0,8.8,Energy Drink,,
Ghost Energy Drink,16.0,5.0,200.0,12.5,Energy Drink,2016.0,https://www.bevindustry.com/articles/95710-how-ghost-energy-found-success-through-transparency
Go Fast Energy Drink,16.0,200.0,160.0,10.0,Energy Drink,2001.0,https://www.dropzone.com/articles/news/go-fast-energy-drink-bolts-out-of-gate-r419/
Go Fast High Octane Energy Drink,16.0,0.0,300.0,18.8,Energy Drink,2020.0,https://issuu.com/bevnet/docs/2021_functional-bev-guide
Go Girl Energy Drink,12.0,25.0,100.0,8.3,Energy Drink,2020.0,"https://www.bevnet.com/news/2020/go-girl-energy-relaunches-under-new-ownership/#:~:text=%E2%80%94Fifteen%20years%20after%20being%20founded,busy%20women%20and%20active%20lifestyles."
Goat Fuel,12.0,15.0,200.0,16.7,Energy Drink,,
Great Value Energy Drink Enhancers,8.0,0.0,50.0,6.2,Energy Drink,,
Great Value Energy Drink Mix,16.0,10.0,120.0,7.5,Energy Drink,,
Gridlock Energy Drink,16.0,200.0,140.0,8.8,Energy Drink,2010.0,https://www.bevindustry.com/articles/82549-energy-drinks-leveling-field
GURU Energy Drink,12.0,115.0,140.0,11.7,Energy Drink,1999.0,https://investors.guruenergy.com/en/about-us
Hell Energy Drink (EU),8.46,115.0,80.0,9.5,Energy Drink,2006.0,https://www.hellenergy.com/en-about-us/
Hi Ball Energy Drink,16.0,0.0,160.0,10.0,Energy Drink,2005.0,https://www.prnewswire.com/news-releases/anheuser-busch-partners-with-hiball-energy-and-alta-palla-brands-300491643.html
Hyde Xtreme,12.0,0.0,400.0,33.3,Energy Drink,2020.0,https://www.prosupps.com/blogs/news/new-product-alert-hyde-xtreme-ready-to-drink
Hype Energy Drink (EU),8.46,108.0,80.0,9.5,Energy Drink,2002.0,https://en-academic.com/dic.nsf/enwiki/4339323
Irn Bru (UK),11.16,65.0,30.0,2.7,Energy Drink,2019.0,https://www.agbarr.co.uk/about-us/news/irn-bru-energy/
Java Kick Coffee Cola,12.0,130.0,100.0,8.3,Energy Drink,2016.0,https://www.bevnet.com/news/2016/java-kick-coffee-cola-energy-drink-released/
Java Monster,15.0,220.0,200.0,13.3,Energy Drink,2007.0,"https://investors.monsterbevcorp.com/static-files/1e783029-5454-4ab1-87b7-6fc871c51447#:~:text=In%20May%202007%20we%20launched,%E2%80%9D%20and%20%E2%80%9CMean%20Bean.%E2%80%9D"
Java Monster 300,15.0,200.0,300.0,20.0,Energy Drink,2020.0,https://www.caffeineshark.com/post/new-energy-drinks-for-2020
Joker Mad Energy,16.0,260.0,160.0,10.0,Energy Drink,2005.0,https://investors.monsterbevcorp.com/node/9501/html
Juice Monster,16.0,160.0,160.0,10.0,Energy Drink,,
Juvee,12.0,5.0,128.0,10.7,Energy Drink,,
Kill Cliff Energy X Recover,12.0,20.0,25.0,2.1,Energy Drink,2011.0,https://ca.finance.yahoo.com/news/kill-cliff-tm-recovery-drink-130000954.html
Kill Cliff Ignite,12.0,25.0,150.0,12.5,Energy Drink,2018.0,https://www.businesswire.com/news/home/20180710005226/en/KILL-CLIFF%C2%AE-Expands-Product-Line-Launches-New-Packaging-with-IGNITE-%E2%80%93-ENDURE-%E2%80%93-RECOVER-Full-System-of-Clean-Performance-Beverages
Kin Spritz,8.0,25.0,50.0,6.2,Energy Drink,2019.0,https://www.forbes.com/sites/karineldor/2019/07/14/why-the-founder-of-kin-euphorics-wants-us-to-replace-booze-with-bliss/?sh=30016b9b2aff
Kona Gold Energy Drink,12.0,150.0,115.0,9.6,Energy Drink,2016.0,"https://www.bevnet.com/news/2016/kona-gold-solutions-launches-hemp-energy-drink/#:~:text=ROCKLEDGE%2C%20Fla.%2C%20Aug.,%E2%80%94%20Kona%20Gold%20Solutions%2C%20Inc."
LevlUp Gaming Booster,16.91,8.0,250.0,14.8,Energy Drink,,
Liquid Help Energy Drink,16.0,0.0,300.0,18.8,Energy Drink,2019.0,https://www.youtube.com/watch?v=szEcKmBZpAM
Liquid Ice Energy Drink,8.3,120.0,80.0,9.6,Energy Drink,2003.0,https://portal.liquidiceenergy.com/history/
Live+ Energy Drink,16.9,227.0,150.0,8.9,Energy Drink,,
Lucozade,12.85,133.0,46.0,3.6,Energy Drink,2017.0,https://www.telegraph.co.uk/business/2017/10/30/lucozade-cactus-juice-can-fuel-healthier-living/
LYFT Energy Mix,8.0,4.0,125.0,15.6,Energy Drink,,
M-150 Energy Drink,8.46,155.0,80.0,9.5,Energy Drink,1985.0,https://www.shelflife.ie/sparks-of-energy/
Mamma Chia Energy,10.0,110.0,90.0,9.0,Energy Drink,2009.0,"https://mammachia.com/blogs/news/mamma-chia-celebrates-10th-anniversary-with-new-leadership-and-innovation#:~:text=About%20Mamma%20Chia&text=Founded%20in%202009%2C%20Mamma%20Chia,Energy%20Beverages%20and%20Chia%20Seeds."
Marquis Energy Drink,12.0,0.0,100.0,8.3,Energy Drink,2010.0,"https://www.prnewswire.com/news-releases/marquis-introduces-its-first-botanical-inspired-flavor-lemon-lavender-to-drive-rapid-growth-301843569.html#:~:text=Marquis%20is%20an%20innovative%20beverage,unsustainable%20and%20needed%20a%20change."
MATI Energy Drink,12.0,90.0,110.0,9.2,Energy Drink,2012.0,https://www.linkedin.com/company/mati-energy/about/
Mega Monster Energy Drink,24.0,320.0,240.0,10.0,Energy Drink,,
Meltdown Ketone Drink,12.0,18.0,225.0,18.8,Energy Drink,2018.0,https://www.prnewswire.com/news-releases/sleek-sexy-and-super-sophisticated-300650096.html
Monster Assault,16.0,210.0,160.0,10.0,Energy Drink,2004.0,"https://investors.monsterbevcorp.com/static-files/42c190b0-bbbb-4a3f-a62d-0d987bcbb254#:~:text=During%202005%20we%20extended%20our,drink%20in%2016%20ounce%20cans."
Monster Dragon Tea,23.0,100.0,60.0,2.6,Energy Drink,2019.0,https://www.bevnet.com/news/2019/monster-reveals-performance-energy-tea-innovations
Monster Energy,16.0,210.0,160.0,10.0,Energy Drink,2002.0,https://www.forbes.com/profile/rodney-sacks/?sh=7ce76b812ae7
Monster Hydro,25.4,150.0,188.0,7.4,Energy Drink,2017.0,"https://monster-energy.fandom.com/wiki/Monster_Hydro#:~:text=Monster%20Hydro%20is%20a%20series,is%20available%20in%20various%20country."
Monster Import,18.6,190.0,179.0,9.6,Energy Drink,,
Monster Lo-Carb,16.0,30.0,140.0,8.8,Energy Drink,2002.0,"https://cannedreviews.blogspot.com/2008/03/monster-lo-carb.html#:~:text=Monster%20debuted%20two%20different%20energy,it%20has%20an%20awesome%20taste."
Monster Mango Loco,16.0,240.0,152.0,9.5,Energy Drink,2019.0,"https://www.prnewswire.com/news-releases/monster-energy-mango-loco-earns-nielsens-bases-top-25-breakthrough-innovation-award-301144675.html#:~:text=Launched%20in%20October%20of%202019,the%20festivities%20with%20the%20living."
Monster Mule,16.0,210.0,160.0,10.0,Energy Drink,2021.0,https://www.cocacolaep.com/gb/news/2021/a-monster-start-to-the-year-with-trio-of-new-variants/
Monster Nitro,16.0,220.0,160.0,10.0,Energy Drink,2021.0,https://www.cocacolaep.com/gb/news/2021/monster-packs-a-punch-with-supercharged-nitro-variant/
Monster Pipeline Punch,16.0,190.0,160.0,10.0,Energy Drink,2019.0,https://monster-energy.fandom.com/wiki/Juiced_Monster_Pipeline_Punch
Monster Rehab,15.5,25.0,160.0,10.3,Energy Drink,2011.0,https://www.businesswire.com/news/home/20130729005528/en/Research-and-Markets-Successes-and-Failures-Case-Study-Monster-Rehab
Monster Reserve,16.0,120.0,160.0,10.0,Energy Drink,2021.0,"https://www.prnewswire.com/news-releases/monster-energy-introduces-new-monster-reserve-301398954.html#:~:text=CORONA%2C%20Calif.%2C%20Oct.,flavors%2C%20White%20Pineapple%20and%20Watermelon."
Monster Ripper Energy Juice (UK),16.91,185.0,160.0,9.5,Energy Drink,,
Monster The Doctor VR46 (UK),16.91,219.0,160.0,9.5,Energy Drink,2014.0,https://monster-energy.fandom.com/wiki/Monster_Energy_The_Doctor
Monster Ultra,16.0,10.0,150.0,9.4,Energy Drink,2015.0,https://www.betterretailing.com/product-news/soft-drinks/monster-ultra-range-launches-in-convenience/
Monster Zero Sugar,16.0,10.0,160.0,10.0,Energy Drink,2023.0,https://www.prnewswire.com/news-releases/monster-energy-launches-monster-energy-zero-sugar-301715741.html
Moose Juice Energy Drink,16.94,0.0,200.0,11.8,Energy Drink,2017.0,https://www.conveniencestore.co.uk/products/moose-juice-rolls-out-seriously-strong-energy-drink/549878.article
Mother Energy Drink,16.91,228.0,160.0,9.5,Energy Drink,2006.0,https://en-academic.com/dic.nsf/enwiki/4927600
Mountain Dew Amp,16.0,220.0,142.0,8.9,Energy Drink,2001.0,https://mountaindew.fandom.com/wiki/Amp
Mountain Dew Energy,16.0,25.0,180.0,11.2,Energy Drink,,
Mountain Dew Game Fuel,16.0,90.0,90.0,5.6,Energy Drink,2007.0,"https://www.halopedia.org/Mountain_Dew_Game_Fuel#:~:text=Mountain%20Dew%20Game%20Fuel%2C%20produced,only%2012%20weeks%20in%20stores."
Mountain Dew Spark,12.0,170.0,46.0,3.8,Energy Drink,2020.0,https://mountaindew.fandom.com/wiki/Spark
Muscle Monster,15.0,180.0,157.0,10.5,Energy Drink,2013.0,https://www.beveragedaily.com/Article/2013/03/04/Monster-Beverage-buffs-up-Muscle-Monster-for-launch
Nerd Focus,12.0,170.0,128.0,10.7,Energy Drink,2006.0,"https://www.prnewswire.com/news-releases/nerd-focus-named-official-energy-drink-of-the-texas-rangers-and-globe-life-field-301771883.html#:~:text=In%202006%2C%20a%20UTSA%20student,his%20own%20%22think%22%20drink."
Neuro Sonic,14.5,35.0,100.0,6.9,Energy Drink,2009.0,https://www.bevnet.com/news/2009/9-1-2009-introducing_neuro/
NOCCO Energy Drink (EU),11.17,0.0,180.0,16.1,Energy Drink,2014.0,https://nocco.com/about-us/
NOS Energy Drink,16.0,200.0,160.0,10.0,Energy Drink,2005.0,https://www.bevnet.com/brands/nos_energy_drink
Nuun Sport,16.0,15.0,40.0,2.5,Energy Drink,,
OCA Energy Drink,12.0,60.0,120.0,10.0,Energy Drink,2020.0,https://app.bevnet.com/brandspotlights/global-flavors
Octane Energy Drink Mix,12.0,25.0,225.0,18.8,Energy Drink,,
Oikos Pro Fuel,10.0,130.0,100.0,10.0,Energy Drink,2019.0,https://www.prnewswire.com/news-releases/oikos-launches-new-protein-packed-caffeinated-dairy-beverage-line-to-fuel-your-hustle-300916273.html
OK Energy Drink,8.45,113.0,80.0,9.5,Energy Drink,2009.0,https://stories.valora.com/en/valoras-own-brand-ok-a-success-story/
Oli Pop Vintage Cola,12.0,35.0,50.0,4.2,Energy Drink,,
PerformElite Pre-Workout,8.0,0.0,225.0,28.1,Energy Drink,,
Perk Energy Beverage,8.0,90.0,100.0,12.5,Energy Drink,2016.0,"https://nittygrittyshow.com/2019/08/12/ep-13-perk-energy-rena-doman/#:~:text=Rena%20Doman%20is%20the%20owner,her%20husband%20launched%20Perk%20Energy."
Power Horse Energy Drink (EU),8.45,125.0,80.0,9.5,Energy Drink,1994.0,https://www.bevnet.com/brands/powerhorse
Prime Energy Drink,12.0,10.0,200.0,16.7,Energy Drink,2022.0,https://www.cnn.com/2023/07/10/business/prime-drink-caffeine-logan-paul-explainer/index.html
Propel Zero Powder,16.0,0.0,0.0,0.0,Energy Drink,,
Protein2O + Energy,16.91,70.0,125.0,7.4,Energy Drink,2019.0,https://www.bevnet.com/news/2019/protein2o-launches-protein2o-plus-energy/
Pure Boost Energy Drink Mix,16.0,25.0,100.0,6.2,Energy Drink,,
Pure Cofain 699 (EU),8.46,148.0,175.0,20.7,Energy Drink,,
Pure Kick Energy Drink Mix,16.9,10.0,80.0,4.7,Energy Drink,,
Quake Energy Berry Blast Slurpee,16.0,5.0,92.0,5.8,Energy Drink,2019.0,https://www.cspdailynews.com/foodservice/7-eleven-launches-slurpee-version-quake
Quake Energy Drink,16.0,0.0,250.0,15.6,Energy Drink,2019.0,"https://www.prnewswire.com/news-releases/7-eleven-shakes-up-energy-drink-lineup-with-quake-private-brand-offering-300871297.html#:~:text=IRVING%2C%20Texas%2C%20June%2019%2C,private%20brand%20version%20%E2%80%93%20Quake%C2%AE."
Rambler Energy Drink,16.0,60.0,120.0,7.5,Energy Drink,,
Raze Energy Drink,16.0,0.0,300.0,18.8,Energy Drink,2018.0,https://www.stack3d.com/2018/08/first-look-razer-energy-drink.html
Red Bull,8.46,117.0,80.0,9.5,Energy Drink,1987.0,https://www.caffeineinformer.com/caffeine-content/red-bull
Red Bull Editions,8.46,113.0,80.0,9.5,Energy Drink,2013.0,"https://en.wikipedia.org/wiki/Red_Bull#:~:text=The%20company%20began%20expanding%20its,seasons%20or%20in%20certain%20regions."
Red Bull Sugarfree,8.46,10.0,80.0,9.5,Energy Drink,2003.0,"https://en.wikipedia.org/wiki/Red_Bull#:~:text=Red%20Bull%20began%20offering%20variations,original%2C%20called%20Red%20Bull%20Sugarfree."
Red Bull Zero,8.46,0.0,80.0,9.5,Energy Drink,2018.0,"https://en.wikipedia.org/wiki/Red_Bull#:~:text=In%202012%2C%20Red%20Bull%20released,more%20like%20the%20original%20flavor."
Red Devil Energy Drink,16.0,0.0,160.0,10.0,Energy Drink,1995.0,https://en.wikipedia.org/wiki/Red_Devil_Energy_Drink
Red Eye Energy Drink,11.1,149.0,106.0,9.5,Energy Drink,1995.0,https://en-academic.com/dic.nsf/enwiki/4375622
Red Power Elixir,12.0,160.0,160.0,13.3,Energy Drink,2016.0,"https://www.winsightgrocerybusiness.com/wellness/red-elixir-introduced-healthy-alternative#:~:text=After%20a%20successful%20test%20market,being%20added%20across%20the%20country."
Red Thunder Energy Drink,12.0,156.0,120.0,10.0,Energy Drink,,
Redline Princess,8.0,0.0,300.0,37.5,Energy Drink,2008.0,https://trademarks.justia.com/776/18/redline-princess-mood-energy-fat-loss-matrix-77618330.html
Redline Xtreme Energy Drink,8.0,0.0,316.0,39.5,Energy Drink,2007.0,https://trademarks.justia.com/771/56/redline-77156288.html
Reign Storm,12.0,10.0,200.0,16.7,Energy Drink,,
Reign Total Body Fuel,16.0,10.0,300.0,18.8,Energy Drink,2019.0,"https://en.wikipedia.org/wiki/Reign_(drink)#:~:text=Reign%20Total%20Body%20Fuel%20is,by%20the%20Monster%20Beverage%20Corporation."
Rip It Energy Drink,16.0,260.0,160.0,10.0,Energy Drink,2004.0,"https://en.wikipedia.org/wiki/Rip_It#:~:text=It%20was%20introduced%20in%202004,.'s%20first%20energy%20drink.&text=National%20Beverage%20Corp.,-Country%20of%20origin&text=Marketed%20as%20%22energy%20fuel%20at,can%20in%20the%20United%20States."
Roaring Lion Energy Drink,8.0,100.0,77.0,9.6,Energy Drink,2001.0,https://www.bevnet.com/supplierfinder/roaring_lion_energy_drink
Rockstar Boom,16.0,280.0,160.0,10.0,Energy Drink,2015.0,https://www.theimpulsivebuy.com/wordpress/2015/07/02/spotted-on-shelves-rockstar-boom-energy-drink-whipped-strawberry-and-whipped-orange/
Rockstar Energy Drink (Original),16.0,250.0,160.0,10.0,Energy Drink,2001.0,"https://en.wikipedia.org/wiki/Rockstar_(drink)#:~:text=Rockstar%20(stylized%20as%20ROCKST%E2%98%85,based%20in%20Purchase%2C%20New%20York."
Rockstar Halo Infinite,16.0,250.0,240.0,15.0,Energy Drink,2021.0,"https://news.xbox.com/en-us/2021/10/04/rockstar-artist-series-cans-inspired-by-halo/#:~:text=Starting%20October%201%20and%20through,an%20Xbox%20Series%20X%20bundle."
Rockstar Juiced,16.0,30.0,170.0,10.6,Energy Drink,2006.0,https://www.bevnet.com/brands/rockstar/rockstar_juiced
Rockstar Organic Energy Drink,15.0,180.0,160.0,10.7,Energy Drink,,
Rockstar Punched,16.0,260.0,240.0,15.0,Energy Drink,2007.0,https://www.bevnet.com/brands/rockstar/punched
Rockstar Pure Zero,16.0,20.0,240.0,15.0,Energy Drink,,
Rockstar Recovery,16.0,25.0,160.0,10.0,Energy Drink,2010.0,https://www.bevnet.com/brands/rockstar/recovery_lemonade
Rockstar Sugar Free,16.0,25.0,160.0,10.0,Energy Drink,,
Rockstar Thermo,16.0,0.0,300.0,18.8,Energy Drink,2020.0,https://www.stack3d.com/2020/01/rockstar-thermo-energy-drink.html
Rockstar Unplugged,8.0,0.0,80.0,10.0,Energy Drink,2022.0,https://www.prnewswire.com/news-releases/rockstar-energy-drink-unveils-a-new-kind-of-energy-drink-rockstar-unplugged---with-hemp-seed-oil-and-b-vitamins-301472434.html
Rockstar XDurance,16.0,10.0,300.0,18.8,Energy Drink,2018.0,https://www.stack3d.com/2018/08/rockstar-xdurance.html
Rockstar Zero Carb,16.0,25.0,240.0,15.0,Energy Drink,2006.0,https://www.bevnet.com/brands/rockstar/rockstar_zero_carb
Rogue Energy Drink,16.0,5.0,200.0,12.5,Energy Drink,,
Rogue Energy Drink Mix,16.0,5.0,175.0,10.9,Energy Drink,,
RootJack Caffeinated Pirate Root Beer,12.0,200.0,120.0,10.0,Energy Drink,2009.0,https://www.bilgemunky.com/pirate-reviews/other/rootjack/
Rowdy Energy Drink,16.0,5.0,160.0,10.0,Energy Drink,2020.0,https://www.bevnet.com/news/2021/better-for-you-energy-drink-rowdy-energy-debuts-two-new-flavors-blue-raspberry-and-grape/
Runa,12.0,0.0,150.0,12.5,Energy Drink,2015.0,https://en.wikipedia.org/wiki/Runa_LLC
Rush! Energy Drink,8.3,120.0,80.0,9.6,Energy Drink,2003.0,https://www.linkedin.com/company/rush-energy-drinks-ltd/?originalSubdomain=uk
Ryse Fuel,16.0,0.0,200.0,12.5,Energy Drink,,
Sambazon Amazon Energy Drink,12.0,120.0,120.0,10.0,Energy Drink,2000.0,https://www.bevnet.com/news/2021/sambazon-secures-45m-investment-will-launch-sambazon-hospitality-group-to-compliment-retail-line/
Scheckters Energy Drink,8.46,78.0,80.0,9.5,Energy Drink,2011.0,https://www.bevnet.com/brands/scheckters
Slammers Energy Drink (EU),8.46,122.0,80.0,9.5,Energy Drink,,
Sneak Energy Drink Mix,16.0,12.0,150.0,9.4,Energy Drink,,
SoBe Energy Citrus,20.0,250.0,81.0,4.0,Energy Drink,1997.0,"https://www.encyclopedia.com/books/politics-and-business-magazines/south-beach-beverage-company-inc#:~:text=1995%3A,3G%2C%203C%2C%20Energy%20drinks."
Solimo Energy Drink,16.0,10.0,152.0,9.5,Energy Drink,2019.0,"https://www.thebrainyinsights.com/report/energy-drinks-market-12984#:~:text=For%20instance%2C%20in%20April%202019,and%20Solimo%20Silver%20Energy%20Drink."
Source 1899 (UK),8.46,58.0,80.0,9.5,Energy Drink,,
Soylent Stacked,11.16,180.0,100.0,9.0,Energy Drink,2019.0,"https://www.prnewswire.com/news-releases/soylent-launches-the-first-complete-energy-drink-300979437.html#:~:text=LOS%20ANGELES%2C%20Dec.,fuel%20the%20mind%20and%20body."
Spark Energy Drink Mix,8.0,15.0,120.0,15.0,Energy Drink,,
Speed Energy Fuel,16.0,240.0,186.0,11.6,Energy Drink,2010.0,https://www.espn.com/racing/nascar/cup/news/story?id=5741721
Spider Energy Drink,16.0,120.0,240.0,15.0,Energy Drink,2009.0,https://www.bevnet.com/news/2009/10-19-2009-spider_energy/
Spike Hardcore Energy,16.0,0.0,350.0,21.9,Energy Drink,2009.0,https://issuu.com/bevnet/docs/novdec_09
Spike Shooter,12.0,10.0,300.0,25.0,Energy Drink,2007.0,https://www.bevnet.com/news/2007/02-07-2007-Spike.asp
Starbucks Triple Shot Energy,15.0,210.0,225.0,15.0,Energy Drink,2019.0,https://www.brandeating.com/2019/03/starbucks-releases-new-tripleshot-energy-canned-beverages.html
Steaz Energy,12.0,140.0,100.0,8.3,Energy Drink,2006.0,https://foodchainmagazine.com/news/steaz/
Strike Force Energy Drink Mix,16.91,0.0,160.0,9.5,Energy Drink,,
T-Virus Antidote,12.0,160.0,100.0,8.3,Energy Drink,2012.0,"https://residentevil.fandom.com/wiki/User_blog:Forerunner/Resident_Evil_beverages#:~:text=For%20your%20energy%20drink%20lovers,to%20promote%20Resident%20Evil%3A%20Retribution."
Taurus Energy Drink,8.46,180.0,50.0,5.9,Energy Drink,2015.0,https://www.minimeinsights.com/2016/06/11/new-taurus-energy-drink-recharge-vitamin-c-drink/
TENZING Natural Energy,8.46,50.0,80.0,9.5,Energy Drink,2016.0,"https://uk.sodexo.com/inspired-thinking/insights/blog-item-1.html#:~:text=He%20launched%20Tenzing%2C%20a%20natural,summit%20of%20Everest%20in%201953."
Tiger Energy Drink,8.46,0.0,80.0,9.5,Energy Drink,2003.0,https://en.wikipedia.org/wiki/Tiger_Energy_Drink
Triton Energy Drink,16.0,15.0,200.0,12.5,Energy Drink,2020.0,https://www.foodbusinessnews.net/articles/17073--eleven-unveils-sugar-free-energy-drink
Tru Energy Wakeup,12.0,10.0,100.0,8.3,Energy Drink,,
True Lemon Energy Mix,16.0,0.0,120.0,7.5,Energy Drink,,
Tweaker Energy Drink,8.46,110.0,80.0,9.5,Energy Drink,2017.0,https://www.bevindustry.com/articles/90340-tweaker-energy-drink
Ugly Energy Water,16.0,0.0,160.0,10.0,Energy Drink,2019.0,https://www.bevnet.com/news/2019/ugly-drinks-announces-new-investment-launch-of-energy-line/
UPTIME Energy Drink,12.0,150.0,142.0,11.8,Energy Drink,2014.0,"https://medium.com/authority-magazine/benjamin-kim-of-uptime-energy-on-5-things-you-need-to-create-a-successful-food-or-beverage-brand-bd4a12ca73b4#:~:text=Since%20its%20launch%20in%20July,better%2Dfor%2Dyou%20offering."
USANA Rev3 Energy Drink,12.0,105.0,120.0,10.0,Energy Drink,2008.0,https://www.sequenceinc.com/fraudfiles/2008/08/usanas-new-rev3-energy-drink/
V Energy Drink,8.45,116.0,78.0,9.2,Energy Drink,1997.0,"https://www.suntory.com/brands/v/#:~:text=Created%20and%20launched%20in%201997,more%20out%20of%20life%20today."
V8 +Energy Drink,8.0,140.0,80.0,10.0,Energy Drink,2011.0,https://www.campbellsoupcompany.com/newsroom/press-releases/v8r-brand-energizes-its-portfolio-with-new-energy-drinks-and-shots/
Venom Death Adder,16.0,160.0,160.0,10.0,Energy Drink,2008.0,https://en.wikipedia.org/wiki/Venom_Energy
Virtue Clean Energy Beverage,8.46,8.0,80.0,9.5,Energy Drink,2016.0,"https://www.worldlandtrust.org/get-involved/corporate-supporters/virtue-drinks/#:~:text=Virtue%20Drinks%2C%20the%20multi%2Daward,and%20sugar%2Dfree%20energy%20drinks."
Viso Energy Drink,17.0,140.0,300.0,17.6,Energy Drink,,
Vuum,12.0,50.0,135.0,11.2,Energy Drink,,
Wild Tiger Energy Drink,8.36,125.0,75.0,9.0,Energy Drink,,
Wildcat Energy Drink (UK),8.46,115.0,80.0,9.5,Energy Drink,2010.0,https://www.linkedin.com/in/kassimrajani/?originalSubdomain=uk
Wired X 3000 Energy Drink,16.0,220.0,185.0,11.6,Energy Drink,,
Wired X Berry Rush,16.0,220.0,95.0,5.9,Energy Drink,,
Wired X344 Energy Drink,16.0,220.0,344.0,21.5,Energy Drink,,
X Ray Energy Drink,8.46,125.0,79.0,9.3,Energy Drink,,
XL Energy Drink (EU),8.45,118.0,80.0,9.5,Energy Drink,1999.0,"https://www.zinkdistributing.com/breweries/xl-energy-drink/#:~:text=Our%20success%20story%20began%20in,have%20been%20consumed%20so%20far."
XS Energy Drink,8.4,10.0,80.0,9.5,Energy Drink,2002.0,https://amwayconnections.com/amway/amway-2000s-growth-of-xs-home-technology/
Xyience Energy Drink,16.0,15.0,160.0,10.0,Energy Drink,2006.0,https://www.bevindustry.com/articles/88710-xyience-re-launches-under-new-ownership
Zest Sparkling Tea,12.0,60.0,135.0,11.2,Energy Drink,2017.0,"https://www.bevnet.com/news/2018/zest-tea-launches-rtd-line/#:~:text=The%20new%2012%20oz.,coffee%20and%20traditional%20energy%20drinks."
Zevia Energy Drink,12.0,0.0,120.0,10.0,Energy Drink,2016.0,"https://en.wikipedia.org/wiki/Zevia#:~:text=In%20June%202016%2C%20Zevia%20launched,and%20Energy%20drink%20product%20lines."
ZipFizz Energy Drink Mix,16.0,20.0,100.0,6.2,Energy Drink,2007.0,https://www.vendingmarketwatch.com/beverage/product/10109935/zipfizz-corp-zipfizz-energy-drink
